tasks;score;b;c1;c2;c3;t1;t2;t3;t4;t5;t6
1,3,4;51,706;0,922;1,123;1,016;0,977;1,230;1,000;1,193;0,540;1,000;1,000
1,4,3;51,386;0,883;1,163;1,011;0,921;1,115;1,000;1,245;0,662;1,000;1,000
3,1,4;51,144;0,890;1,123;0,993;0,927;1,187;1,000;1,320;0,560;1,000;1,000
3,4,1;49,352;0,950;1,089;0,961;1,082;1,126;1,000;1,168;0,624;1,000;1,000
4,1,3;50,330;0,901;1,145;1,098;0,978;1,112;1,000;1,152;0,614;1,000;1,000
4,3,1;49,090;0,885;1,058;0,939;0,961;1,336;1,000;1,260;0,561;1,000;1,000
1,3,5;48,733;0,802;1,160;0,981;0,958;1,207;1,000;1,099;1,000;0,792;1,000
1,5,3;48,586;0,958;1,099;1,040;0,883;1,089;1,000;1,166;1,000;0,764;1,000
3,1,5;48,832;0,867;1,108;1,045;0,901;1,221;1,000;1,102;1,000;0,757;1,000
3,5,1;47,106;0,845;1,085;1,041;0,904;1,238;1,000;1,093;1,000;0,793;1,000
5,1,3;48,186;0,778;1,097;1,088;0,849;1,229;1,000;1,159;1,000;0,800;1,000
5,3,1;46,349;0,828;1,060;1,032;0,909;1,220;1,000;1,119;1,000;0,832;1,000
1,3,6;49,694;0,881;1,034;0,976;0,951;1,220;1,000;1,204;1,000;1,000;0,734
1,6,3;49,512;0,915;0,984;0,967;0,930;1,233;1,000;1,169;1,000;1,000;0,801
3,1,6;49,827;0,851;1,121;1,001;0,968;1,096;1,000;1,136;1,000;1,000;0,827
3,6,1;48,033;0,878;1,039;0,957;0,946;1,199;1,000;1,201;1,000;1,000;0,781
6,1,3;48,632;0,796;1,047;1,074;0,843;1,333;1,000;1,134;1,000;1,000;0,774
6,3,1;47,478;0,818;1,001;1,167;0,870;1,221;1,000;1,162;1,000;1,000;0,761
1,4,5;51,930;1,075;1,075;1,021;1,066;1,112;1,000;1,000;0,704;0,948;1,000
1,5,4;52,396;0,993;1,123;1,096;0,966;1,372;1,000;1,000;0,577;0,873;1,000
4,1,5;52,034;0,989;1,092;0,994;0,967;1,380;1,000;1,000;0,582;0,995;1,000
4,5,1;50,817;0,963;1,060;1,060;1,037;1,185;1,000;1,000;0,669;1,026;1,000
5,1,4;52,003;0,920;1,117;1,081;0,971;1,296;1,000;1,000;0,526;1,089;1,000
5,4,1;50,753;0,884;1,095;1,011;0,931;1,364;1,000;1,000;0,702;1,014;1,000
1,4,6;52,951;0,995;1,313;1,224;1,091;1,069;1,000;1,000;0,574;1,000;0,734
1,6,4;52,451;1,041;1,181;1,173;1,067;1,116;1,000;1,000;0,629;1,000;0,794
4,1,6;52,606;1,000;1,190;1,193;1,034;1,225;1,000;1,000;0,590;1,000;0,769
